"cluster","term","pval","direction","nseqs","season","division"
4,"structural constituent of ribosome",6.34561226678742e-15,"down",12,"summer","MF"
5,"oxidoreduction-driven active transmembrane transporter activity",3.70633775441269e-07,"down",5,"summer","MF"
1,"actin binding",4.5082054460798e-05,"up",8,"summer","MF"
3,"RNA binding",0.000452549126926169,"down",52,"summer","MF"
10,"gated channel activity",0.00274882139006219,"up",11,"summer","MF"
12,"oxidoreductase activity, acting on a sulfur group of donors",0.00434139031407272,"down",7,"summer","MF"
15,"unfolded protein binding",0.00474263858155569,"down",4,"summer","MF"
9,"nucleoside-triphosphatase regulator activity",0.00502085083404883,"up",29,"summer","MF"
13,"tumor necrosis factor receptor superfamily binding",0.00900265726999907,"up",4,"summer","MF"
11,"metalloaminopeptidase activity",0.0267913075782913,"up",2,"summer","MF"
8,"neurotransmitter receptor activity",0.0274389358430894,"up",3,"summer","MF"
14,"ubiquitin-like protein binding",0.0276468778711966,"down",3,"summer","MF"
2,"DNA-binding transcription factor activity",0.028862070904121,"up",26,"summer","MF"
6,"protein serine/threonine kinase activity",0.0707073523325914,"up",8,"summer","MF"
16,"NAD binding",0.086420713097709,"up",2,"summer","MF"
7,"12-hydroxyheptadecatrienoic acid synthase activity",0.0999795443144245,"up",3,"summer","MF"
